"id","text","screenName","created","favoriteCount","retweetCount"
"1403643284963069952","Ein Aufschlag von mindestens 15,5 Cent pro Liter #Benzin und 17,4 Cent zusätzlich beim #Diesel schwebt der #CDUCSU… https://t.co/n99tBhkMi4","Alice_Weidel",2021-06-12 09:20:12,2575,706
"1402560680646021121","Die arrogante Realitätsverweigerung von @OlafScholz ist blanker Hohn für all jene, denen aufgrund des Versagens der… https://t.co/LvR177bFb6","Alice_Weidel",2021-06-09 09:38:19,1609,370
"1402221125271228426","120.000 #Einzelhändler rechnen mit der #Pleite. Die #Bundesregierung darf nicht länger nur auf die rapide sinkenden… https://t.co/1R8iZqZpYg","Alice_Weidel",2021-06-08 11:09:02,1162,317
"1401573217689559048","Die #AfD geht nun gestärkt in die heiße Phase des Bundestagswahlkampfes und wird mit dem Rückenwind aus Magdeburg a… https://t.co/0DzhPODDUB","Alice_Weidel",2021-06-06 16:14:29,819,128
"1401573214552211461","Die Bürger in #SachsenAnhalt haben ein unmissverständliches Zeichen gesetzt: Nach der 18-Uhr-Prognose des ZDFs habe… https://t.co/4rituZlGZK","Alice_Weidel",2021-06-06 16:14:28,2062,311
"1401420719104446465","#SachsenAnhalt hat die Wahl. Zeigen Sie den Regierenden die Rote Karte für Ihr Versagen bei #Corona, #Migration,… https://t.co/Nvtzsg0Exj","Alice_Weidel",2021-06-06 06:08:31,2448,532
"1401097976127295488","Das skandalöse Verhalten von Gesundheitsminister #Spahn im Zusammenhang mit unbrauchbaren Masken aus China muss umf… https://t.co/UFP7M2fGx7","Alice_Weidel",2021-06-05 08:46:03,2284,516
"1400734555204640768","Ergebnis: ""Nach Sichtung des Vorgebrachten kommt die Kommission zu der Einschätzung, dass unter Berücksichtigung de… https://t.co/vNcIpDFQj2","Alice_Weidel",2021-06-04 08:41:57,319,43
"1400734552729993217","In den vergangenen Tagen wurde öffentlich über das Wahlverfahren und die Gültigkeit unserer Urwahl diskutiert. Um h… https://t.co/z1P6kn9ul1","Alice_Weidel",2021-06-04 08:41:56,811,136
"1400426315740860427","Wie abzusehen war, versucht die Regierung, #Ausnahmezustand und Alarmstimmung in <U+0001F1E9><U+0001F1EA> noch bis zur Bundestagswahl auf… https://t.co/XiySgl6ngH","Alice_Weidel",2021-06-03 12:17:06,1940,501
"1400363961216864256","…der größten Oppositionspartei im Land geben, dann zeigt das, wer in Wahrheit ein Problem mit den demokratischen Sp… https://t.co/cvjzyiWq8N","Alice_Weidel",2021-06-03 08:09:20,851,123
